image_path,label,class_name
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1275.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1099.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR354.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1117.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1171.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR913.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1360.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1337.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR180.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR929.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR416.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR565.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR106.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR414.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR585.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR774.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR502.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1424.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR956.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1376.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR442.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR828.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1263.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR873.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1317.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR136.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR99.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR550.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR279.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR453.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR803.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR602.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR833.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR169.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1191.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR640.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR870.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR459.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR427.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR205.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR394.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1407.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1262.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR268.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR1321.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR534.jpg,0,Diabetic Retinopathy
E:\eye diesea pred\Dataset 3\Eye Disease Image Dataset\Original Dataset\Original Dataset\Diabetic Retinopathy\DR673.jpg,0,Diabetic Retinopathy
